SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,list/concat_assoc_1var_7occ/10,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/11,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/12,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/13,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/14,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/15,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/16,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/17,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/18,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/19,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_7occ/20,,SOLVED
